ID_Estacion,Temperatura_C,Profundidad_m,Porcentaje_Blanqueamiento
Estacion_1,27.621780831931535,5,42.3498749878447
Estacion_2,31.65500014486941,33,83.18327994488246
Estacion_3,30.12395759267984,49,73.38848036718788
Estacion_4,29.19060938937925,39,63.34024139897014
Estacion_5,26.09213048309705,44,25.904518036819876
Estacion_6,26.091961642353414,18,28.50744333601409
Estacion_7,25.4065852851774,39,19.04863419487326
Estacion_8,31.063233020424548,49,85.05469664123676
Estacion_9,29.207805082202466,24,60.14283242913629
Estacion_10,29.95650804457232,17,61.17329186728784
Estacion_11,25.144091460070616,42,13.877188616510333
Estacion_12,31.78936896513396,12,92.51086601742308
Estacion_13,30.827098485602956,47,81.28307601321227
Estacion_14,26.48637377474793,24,21.45274241787364
Estacion_15,26.272774770449704,37,19.86801454335515
Estacion_16,26.28383156897404,30,30.67174309435296
Estacion_17,27.129695700716763,43,35.35857263931786
Estacion_18,28.673295021425663,25,57.487043743971086
Estacion_19,28.02361513049481,46,46.42497344659001
Estacion_20,27.03860398138629,47,34.61202847411424
Estacion_21,29.28297026305665,45,66.08706218655985
Estacion_22,25.976457024564294,13,19.13726065368464
Estacion_23,27.045012539746526,28,35.02075436166325
Estacion_24,27.56453290305584,41,38.463018393144914
Estacion_25,28.19248988951925,45,46.13739753706944
Estacion_26,30.49623172975109,21,74.40892013966997
Estacion_27,26.39771647510852,28,27.88326655947074
Estacion_28,28.59964106889528,25,50.80194971842598
Estacion_29,29.146901982034297,43,66.04160441227918
Estacion_30,25.325152889039984,45,9.428798157382287
Estacion_31,29.252813963310068,43,60.09940933891399
Estacion_32,26.19366886581104,17,22.12537109836159
Estacion_33,25.455361150896955,15,22.699223232532155
Estacion_34,31.642198760773333,23,90.68915901183784
Estacion_35,31.75942423152192,15,96.27231347560614
Estacion_36,30.65878143681523,17,70.47757537659787
Estacion_37,27.1322963842136,49,36.92280793990948
Estacion_38,25.683704798044687,5,22.652611554653426
Estacion_39,29.789631185585097,44,67.8869941733983
Estacion_40,28.08106745617721,48,52.300211349453264
Estacion_41,25.85426764391345,23,17.66476947645954
Estacion_42,28.466238370778893,16,58.6415976502746
Estacion_43,25.24071964780653,12,24.3831263917746
Estacion_44,31.365242814551475,12,84.5687209724194
Estacion_45,26.81145987120012,49,29.510005847397565
Estacion_46,29.637655990477874,16,72.91879427132302
Estacion_47,27.18197753262588,37,44.081591120164056
Estacion_48,28.64047614824468,49,51.07141364316979
Estacion_49,28.82697195540296,30,53.82272937935621
Estacion_50,26.29398118867869,43,24.118851219841748
Estacion_51,31.78709239435191,32,84.72285617705155
Estacion_52,30.4259297635278,9,70.51789742991261
Estacion_53,31.576492590949325,12,83.89720725763155
Estacion_54,31.26379145299354,29,81.32650961040183
Estacion_55,29.185299851677595,31,60.050173783197216
Estacion_56,31.45311964516182,27,88.60850940462444
Estacion_57,25.61944751436344,34,25.18587263643165
Estacion_58,26.371880036934016,49,21.47079023951424
Estacion_59,25.316591022373768,27,18.720704260868114
Estacion_60,27.27731231534285,24,36.25780356298665
Estacion_61,27.72074102782637,22,42.40157378565432
Estacion_62,26.899443222417272,22,36.16741612984027
Estacion_63,30.801162564063503,6,74.00034066095054
Estacion_64,27.49727328685513,8,41.8793281731818
Estacion_65,26.966541567811664,34,34.43075985480526
